x|y|z|qx|qy|qz|qw|wx|wy|wz|vx|vy|ax|ay|yaw|yawv|yawa|fx|fy|fvx|fvy|fax|fay|fyaw|fyawv|fyawa|steer|gas|brake|Ax|SW||wheelbase|SR|K|v|curv_yawv|SW_yawv|
505.574122|-2.183317|0.513693|0.005092|-0.002468|0.299352|0.954126|0.010991|0.011182|0.473645|1.939794|2.313489|-0.288148|1.943596|0.608006|0.473738|0.212855|505.511323|-2.037371|2.061285|2.172783|0.946468|0.765436|0.607803|0.470303|0.270595|8|0.377076|0|1|8|||||2.9949760961173|0.157030635606643|6.29561018337743|0.04538976010948
505.675687|-2.072237|0.513574|0.00538|-0.002249|0.310749|0.950474|0.005859|0.007632|0.483117|1.922584|2.412135|-0.404853|2.007102|0.631939|0.483239|0.192201|505.607987|-1.922029|2.052034|2.266837|0.949824|0.798194|0.631669|0.482282|0.2427|8|0.379397|0|1|8|||||3.05767779887368|0.157728194964706|6.3248150743167|0.043847570863072
505.776525|-1.956174|0.51341|0.005555|-0.002061|0.322331|0.946608|0.002462|0.005309|0.493413|1.900149|2.513144|-0.477348|2.02151|0.656359|0.49359|0.21626|505.703633|-1.801819|2.0388|2.363397|0.9514|0.826368|0.656104|0.493628|0.23071|8|0.382137|0|1|8|||||3.12127390973766|0.158149529414895|6.3429962825338|0.042900958120263
505.876463|-1.835076|0.513215|0.005619|-0.00191|0.334117|0.942513|-0.001258|0.002079|0.504099|1.87513|2.6141|-0.527368|2.018654|0.681314|0.504304|0.207831|505.798122|-1.676714|2.022131|2.461589|0.956957|0.848667|0.681078|0.504339|0.219545|8|0.384447|0|1|8|||||3.1856607142133|0.158315352840249|6.35097733305566|0.042488683689004
505.975373|-1.708932|0.513013|0.005602|-0.001797|0.346094|0.938182|-0.002212|0.00054|0.51411|1.846827|2.715422|-0.607538|2.034276|0.706787|0.514315|0.195096|505.891298|-1.546682|2.002015|2.56101|0.959474|0.870101|0.70656|0.514359|0.207414|8|0.386485|0|1|8|||||3.25066705159495|0.158231831139897|6.34899668136753|0.042590811845866
506.07306|-1.577684|0.512832|0.005604|-0.00169|0.358244|0.93361|-0.000132|0.001634|0.52395|1.814161|2.81756|-0.697941|2.049367|0.732752|0.524143|0.200376|505.982956|-1.411679|1.978035|2.661452|0.957405|0.890071|0.732536|0.524129|0.201319|8|0.388611|0|1|8|||||3.31601405448303|0.158059945280211|6.34350326819757|0.042874709726127
506.169305|-1.441282|0.512693|0.005683|-0.001565|0.370567|0.928787|0.002796|0.003825|0.534242|1.776851|2.920395|-0.794673|2.064057|0.75922|0.534418|0.209483|506.072876|-1.271669|1.949853|2.762749|0.951801|0.908737|0.759011|0.534034|0.20125|8|0.390897|0|1|8|||||3.38152462043529|0.157926988546148|6.33960103489602|0.04307694880185
506.263875|-1.299678|0.512609|0.005849|-0.001409|0.383067|0.923701|0.00537|0.006134|0.544789|1.73432|3.024143|-0.907219|2.085908|0.786209|0.544942|0.210223|506.16081|-1.126612|1.917043|2.864924|0.942037|0.928424|0.785995|0.544099|0.202329|8|0.393373|0|1|8|||||3.44715003874578|0.157840243065825|6.33758246645857|0.043181750872281
506.356495|-1.152803|0.512578|0.006084|-0.001223|0.395738|0.918343|0.007137|0.008093|0.555254|1.685788|3.129097|-1.032975|2.110845|0.813723|0.555385|0.207517|506.246472|-0.976457|1.87905|2.968101|0.927822|0.950462|0.813492|0.554235|0.202599|8|0.396113|0|1|8|||||3.51289801285221|0.157771446245319|6.33631405842163|0.043247670503211
506.446857|-1.000578|0.512595|0.006362|-0.001012|0.408571|0.912704|0.007771|0.009193|0.565641|1.630766|3.235236|-1.165412|2.132039|0.841757|0.565764|0.208085|506.32955|-0.821158|1.835352|3.072352|0.910068|0.974673|0.841506|0.56445|0.203189|8|0.399161|0|1|8|||||3.57880759133653|0.157720130404999|6.3357785629384|0.043275515493365
506.534634|-0.842934|0.512644|0.006644|-0.000786|0.42156|0.906776|0.007353|0.009266|0.576121|1.569019|3.342316|-1.301136|2.14809|0.870312|0.576249|0.210905|506.409715|-0.660675|1.785559|3.177663|0.890223|1.000969|0.870041|0.574792|0.204719|8|0.402518|0|1|8|||||3.64496407170907|0.157694832841106|6.33632172969388|0.043247271673262
506.619494|-0.679814|0.512709|0.006905|-0.000559|0.434702|0.900548|0.006338|0.008587|0.586758|1.500476|3.450001|-1.436408|2.15703|0.899395|0.586897|0.213083|506.486632|-0.494983|1.729431|3.283926|0.869865|1.02911|0.899104|0.585275|0.206655|8|0.406135|0|1|8|||||3.71148239349684|0.157693055751929|6.3378470285912|0.043168007818174
